"PRIO";"ACTIVITY_MACRO";"ACTOR_TYPE";"n";"shape";"rate";"mean_EPT_min";"cv"
"Prioritaire";"Accueil";"Agent_Accueil";19;24,141;6,109;3,95;0,204
"Standard";"Accueil";"Agent_Accueil";49;23,699;5,946;3,99;0,205
